product,actual_rating,predicted_eta,num_reviews,category,abs_error,prediction_width,predicted_eta_mean,predicted_eta_hdi_lower,predicted_eta_hdi_upper,predicted_eta_sd,estimated_star_rating,estimated_star_lower,estimated_star_upper
AVpfov9TLJeJML43A7B0,4.615384615384615,2.052,13,Food & Beverage,2.563384615384615,0.567,0.526,-1.649,2.658,1.099,3.6095017381228276,1.089223638470452,5.0
AVpfpM2yilAPnD_xfmDG,4.25,1.443,4,Food,2.807,0.745,0.796,-0.788,2.338,0.832,3.922363847045191,2.086906141367323,5.0
AVpfqW4WilAPnD_xf7a_,5.0,2.546,2,Movies,2.454,1.002,2.236,0.356,4.116,1.007,5.0,3.4125144843568944,5.0
AVpfr5cb1cnluZ0-pZFp,3.5,0.425,2,Furniture,3.075,1.06,2.633,1.113,4.29,0.84,5.0,4.289687137891078,5.0
AVpfrFDZLJeJML43Bmv0,5.0,2.422,3,Home,2.578,0.9,2.457,1.145,3.778,0.717,5.0,4.326767091541136,5.0
AVpfrTyiLJeJML43BrSI,4.0,1.731,3,Movies,2.269,0.917,0.738,-0.456,1.934,0.636,3.855156431054461,2.4716106604866743,5.0
AVpfrfHF1cnluZ0-pRai,5.0,2.157,2,Personal Care,2.843,0.922,2.576,1.018,4.173,0.823,5.0,4.179606025492468,5.0
AVpfrgjFLJeJML43BvCc,5.0,2.264,1,Food,2.736,0.996,2.476,1.201,3.575,0.624,5.0,4.391657010428737,5.0
AVpftikC1cnluZ0-p31V,4.28125,1.309,32,Baby,2.97225,0.374,2.453,1.26,3.674,0.62,5.0,4.460023174971031,5.0
AVpfvieo1cnluZ0-qdnu,1.0,-0.279,2,Personal Care,1.279,0.958,2.684,1.161,4.468,0.876,5.0,4.345307068366164,5.0
AVpfwAXDLJeJML43DC4f,4.333333333333333,1.215,12,Personal Care,3.118333333333333,0.549,2.578,0.898,4.337,0.863,5.0,4.040556199304751,5.0
AVpfxAr81cnluZ0-q4CH,3.6666666666666665,1.43,3,Personal Care,2.2366666666666664,0.88,2.147,0.616,3.571,0.749,5.0,3.713789107763615,5.0
AVpfxQCwLJeJML43DZqo,4.6,1.656,10,Personal Care,2.944,0.553,3.09,1.961,4.208,0.605,5.0,5.0,5.0
AVpfxvo9ilAPnD_xiFhq,4.60377358490566,1.7250000000000003,53,Personal Care,2.8787735849056597,0.279,1.656,0.658,2.719,0.553,4.918887601390498,3.7624565469293163,5.0
AVpfy9prilAPnD_xibzt,4.0,0.582,4,Featured Brands,3.418,0.689,1.502,-0.368,3.597,1.007,4.740440324449595,2.5735805330243338,5.0
AVpfz-GRilAPnD_xiuMN,5.0,1.756,1,School & Office Supplies,3.2439999999999998,1.184,0.546,-1.617,2.65,1.073,3.6326767091541137,1.1263035921205098,5.0
AVpfz3Lk1cnluZ0-rs3t,5.0,2.058,1,Kitchen & Dining,2.942,1.124,2.614,0.689,4.162,0.936,5.0,3.79837775202781,5.0
